Sample ID,Plate Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Original Sample ID,mtORF.ID,PocHistone.ID,Notebook.Link1,Notebook.Link2
HP0006,F1,PCR,2,8,2,FatP6.1,TPC REC-001,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0014,F2,PCR,2,8,2,FatP6.1,TPC REC-002,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0022,F3,PCR,2,8,2,FatP6.1,TPC REC-003,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0030,F4,PCR,2,8,2,FatP6.1,TPC REC-004,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0038,F5,PCR,2,8,2,FatP6.1,TPC REC-005,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0046,F6,PCR,2,8,2,FatP6.1,TPC REC-006,Haplotype 5a,P. acuta,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0054,F7,PCR,2,8,2,FatP6.1,TPC REC-007,Haplotype 5a,P. acuta,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0062,F8,PCR,2,8,2,FatP6.1,TPC REC-008,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0070,F9,PCR,2,8,2,FatP6.1,TPC REC-009,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0078,F10,PCR,2,8,2,FatP6.1,TPC REC-010,Haplotype 8a,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0086,F11,PCR,2,8,2,FatP6.1,TPC REC-011,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0094,F12,PCR,2,8,2,FatP6.1,TPC REC-012,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0007,G1,PCR,2,8,2,FatP6.1,TPC REC-013,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0015,G2,PCR,2,8,2,FatP6.1,TPC REC-014,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0023,G3,PCR,2,8,2,FatP6.1,TPC REC-015,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0031,G4,PCR,2,8,2,FatP6.1,TPC REC-016,Haplotype 1,P. grandis,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0039,G5,PCR,2,8,2,FatP6.1,TPC REC-017,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0047,G6,PCR,2,8,2,FatP6.1,TPC REC-018,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0055,G7,PCR,2,8,2,FatP6.1,TPC REC-019,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0063,G8,PCR,2,8,2,FatP6.1,TPC REC-020,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0071,G9,PCR,2,8,2,FatP6.1,TPC REC-021,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0079,G10,PCR,2,8,2,FatP6.1,TPC REC-022,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0087,G11,PCR,2,8,2,FatP6.1,TPC REC-023,Haplotype 8a,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0095,G12,PCR,2,8,2,FatP6.1,TPC REC-024,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0008,H1,PCR,2,8,2,FatP6.1,TPC REC-025,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0016,H2,PCR,2,8,2,FatP6.1,TPC REC-026,Haplotype 5a,P. acuta,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0024,H3,PCR,2,8,2,FatP6.1,TPC REC-027,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0032,H4,PCR,2,8,2,FatP6.1,TPC REC-028,Haplotype 8a,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0040,H5,PCR,2,8,2,FatP6.1,TPC REC-029,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0048,H6,PCR,2,8,2,FatP6.1,TPC REC-030,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0056,H7,PCR,2,8,2,FatP6.1,TPC REC-031,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0064,H8,PCR,2,8,2,FatP6.1,TPC REC-032,Haplotype 8a,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0072,H9,PCR,2,8,2,FatP6.1,TPC REC-033,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
HP0080,H10,PCR,2,8,2,FatP6.1,TPC REC-034,Haplotype 1,P. meandrina,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate001/,https://hputnam.github.io/Putnam_Lab_Notebook/Pocillopora_PocHistone_PCR_RFLP/
