"","Species","Stage","colony_id","Light_Value.x","Temp.Cat.x","Run","micromol.cm2.s","micromol.cm2.h"
"1","P. grandis","Adult","POG-151","0",29,1,-0.0611859327552323,-220.269357918836
"2","P. grandis","Adult","POG-151","15",29,1,-0.047168871971018,-169.807939095665
"3","P. grandis","Adult","POG-151","21",29,1,-0.0332684158121277,-119.76629692366
"4","P. grandis","Adult","POG-151","215",29,1,0.0535545677077468,192.796443747889
"5","P. grandis","Adult","POG-151","383",29,1,0.104940244185109,377.784879066394
"6","P. grandis","Adult","POG-151","560",29,1,0.131185814004201,472.268930415125
"7","P. grandis","Adult","POG-151","733",29,1,0.14067883850374,506.443818613464
"8","P. grandis","Adult","POG-151","902",29,1,0.138949513118479,500.218247226526
"9","P. grandis","Adult","POG-151","95",29,1,0.00285922122914713,10.2931964249297
"10","P. grandis","Adult","POG-172","0",29,1,-0.0608661877223768,-219.118275800557
"11","P. grandis","Adult","POG-172","15",29,1,-0.0437350397488601,-157.446143095896
"12","P. grandis","Adult","POG-172","21",29,1,-0.0423300875835086,-152.388315300631
"13","P. grandis","Adult","POG-172","215",29,1,0.0407706693645792,146.774409712485
"14","P. grandis","Adult","POG-172","383",29,1,0.0811964306231756,292.307150243432
"15","P. grandis","Adult","POG-172","560",29,1,0.10958734835179,394.514454066445
"16","P. grandis","Adult","POG-172","733",29,1,0.125267742544073,450.963873158661
"17","P. grandis","Adult","POG-172","902",29,1,0.130987187150197,471.553873740711
"18","P. grandis","Adult","POG-172","95",29,1,-0.00880408645182909,-31.6947112265847
"19","P. meandrina","Adult","POM-003","0",29,1,-0.0469820799719045,-169.135487898856
"20","P. meandrina","Adult","POM-003","15",29,1,-0.0382809182644328,-137.811305751958
"21","P. meandrina","Adult","POM-003","21",29,1,-0.036927819009968,-132.940148435885
"22","P. meandrina","Adult","POM-003","215",29,1,0.00636453272502361,22.912317810085
"23","P. meandrina","Adult","POM-003","383",29,1,0.0306112251584882,110.200410570558
"24","P. meandrina","Adult","POM-003","560",29,1,0.0499628271211302,179.866177636069
"25","P. meandrina","Adult","POM-003","733",29,1,0.060604621847224,218.176638650006
"26","P. meandrina","Adult","POM-003","902",29,1,0.0647261537144589,233.014153372052
"27","P. meandrina","Adult","POM-003","95",29,1,-0.0193387764851392,-69.6195953465013
