"","Date","Plate","Sample.ID","Chamber.ID","Light","Intercept","umol.L.min"
"2","20231216","9","1","A1","1",258.628846159659,-0.116734060508351
"3","20231216","9","2","B1","1",338.442124223602,0.828655518394648
"4","20231216","9","3","C1","1",266.455538287604,-0.780291991495396
"5","20231216","9","4","D1","1",265.466737688354,-0.406743399376183
"6","20231216","9","5","A2","1",260.494203377985,-0.204726383226563
"7","20231216","9","6","B2","1",262.978590363981,-0.0340227224910606
"8","20231216","9","7","C2","1",295.434057620002,0.849657641603046
"9","20231216","9","8","D2","1",266.721649965683,-0.139788895712169
"10","20231216","9","9","A3","1",285.360024547049,0.560834599649318
"11","20231216","9","10","B3","1",262.551746109746,-0.303820287820289
"12","20231216","9","11","C3","1",259.469382436875,-0.747716938193115
"13","20231216","9","12","D3","1",255.149173163315,0.389843251088534
"14","20231216","9","13","A4","1",242.69811818772,-0.181422421156933
"15","20231216","9","14","B4","1",256.05037324399,-0.355378044240674
"16","20231216","9","15","C4","1",281.633194879833,2.22141065830721
"17","20231216","9","16","D4","1",259.543426161467,-0.225684065566246
"18","20231216","9","17","A5","1",240.493418423585,0.960041291225613
"19","20231216","9","18","B5","1",247.245872031122,-0.125755352755352
"20","20231216","9","19","C5","1",250.987367029092,-0.381604466647074
"21","20231216","9","20","D5","1",265.624936711616,0.786108553455015
"22","20231216","9","21","A6","1",261.802883207738,1.61895338534968
"23","20231216","9","22","B6","1",253.934506161954,-0.469252140519992
"24","20231216","9","23","C6","1",255.075093398887,-0.335191652667108
"25","20231216","9","24","D6","1",253.580385513857,-0.488375285092267
"26","20231216","9","1","A1","2",256.600308724596,-0.112910429361421
"27","20231216","9","2","B1","2",419.490434782609,-2.32759952529939
"28","20231216","9","3","C1","2",266.450201451482,-0.274573157179898
"29","20231216","9","4","D1","2",268.739756181527,-0.266616552925209
"30","20231216","9","5","A2","2",258.855943511464,-0.150183995626476
"31","20231216","9","6","B2","2",267.024650335946,-0.199067749160129
"32","20231216","9","7","C2","2",376.671335155469,-2.00766120025863
"33","20231216","9","8","D2","2",267.860566686038,-0.171631655663206
"34","20231216","9","9","A3","2",367.428502851202,-1.85268956202971
"35","20231216","9","10","B3","2",257.774216930984,-0.32737951939551
"36","20231216","9","11","C3","2",251.53301379881,-0.307147372647033
"37","20231216","9","12","D3","2",270.664820814923,-0.211829721579348
"38","20231216","9","13","A4","2",251.152678770505,-0.307846472368209
"39","20231216","9","14","B4","2",252.536792328927,-0.243931934535753
"40","20231216","9","15","C4","2",368.725805517865,-1.93550067842604
"41","20231216","9","16","D4","2",264.374960435884,-0.197090341833968
"42","20231216","9","17","A5","2",262.128661732963,-0.227886962489923
"43","20231216","9","18","B5","2",254.639720599219,-0.187558757633008
"44","20231216","9","19","C5","2",258.070500327386,-0.305131609323423
"45","20231216","9","20","D5","2",324.040177751893,-1.00488200349447
"46","20231216","9","21","A6","2",336.763808566434,-1.20506643356644
"47","20231216","9","22","B6","2",257.585037905914,-0.187717331357782
"48","20231216","9","23","C6","2",267.522839163573,-0.325430525698653
"49","20231216","9","24","D6","2",258.759492805607,-0.205373902288185
