"","Species","colony_id.x","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h"
"1","P. grandis","POG-156","21","0",2,-0.0750502788350278,-270.1810038061
"2","P. grandis","POG-156","21","560",2,0.100103696955434,360.373309039564
"3","P. grandis","POG-156","24","0",2,-0.0937766667493924,-337.596000297813
"4","P. grandis","POG-156","24","560",2,0.0991974402271477,357.110784817732
"5","P. grandis","POG-156","28","0",2,-0.118251987905521,-425.707156459876
"6","P. grandis","POG-156","28","560",2,0.0942028728587953,339.130342291663
"7","P. grandis","POG-156","30","0",2,-0.128613948004206,-463.01021281514
"8","P. grandis","POG-156","30","560",2,0.10256832264476,369.245961521137
"9","P. grandis","POG-156","32","0",2,-0.155110053210494,-558.396191557778
"10","P. grandis","POG-156","32","560",2,0.0958149912563704,344.933968522933
"11","P. grandis","POG-156","35","0",2,-0.148720906095958,-535.39526194545
"12","P. grandis","POG-156","35","560",2,0.0275213992189433,99.0770371881959
"13","P. grandis","POG-156","38","0",2,-0.0753745191339586,-271.348268882251
"14","P. grandis","POG-156","38","560",2,-0.00628382690207303,-22.6217768474629
"15","P. grandis","POG-156","40","0",2,-0.0637803074311257,-229.609106752052
"16","P. grandis","POG-156","40","560",2,-0.0530193484737486,-190.869654505495
"17","P. grandis","POG-168","21","0",2,-0.0394847678216232,-142.145164157843
"18","P. grandis","POG-168","21","560",2,0.0800664752805583,288.23931101001
"19","P. grandis","POG-168","24","0",2,-0.0545780142161561,-196.480851178162
"20","P. grandis","POG-168","24","560",2,0.0666805442101149,240.049959156414
"21","P. grandis","POG-168","28","0",2,-0.0769398039566705,-276.983294244014
"22","P. grandis","POG-168","28","560",2,0.0822136992254087,295.969317211471
"23","P. grandis","POG-168","30","0",2,-0.0762672736746921,-274.562185228892
"24","P. grandis","POG-168","30","560",2,0.0843288412974601,303.583828670856
"25","P. grandis","POG-168","32","0",2,-0.0914082963007404,-329.069866682665
"26","P. grandis","POG-168","32","560",2,0.0810794783080337,291.886121908921
"27","P. grandis","POG-168","35","0",2,-0.0958776603695062,-345.159577330222
"28","P. grandis","POG-168","35","560",2,0.0387942047187568,139.659136987524
"29","P. grandis","POG-168","38","0",2,-0.0615887397415542,-221.719463069595
"30","P. grandis","POG-168","38","560",2,0.000691355549465841,2.48887997807703
"31","P. grandis","POG-168","40","0",2,-0.0433376411472187,-156.015508129987
"32","P. grandis","POG-168","40","560",2,-0.0305690096554819,-110.048434759735
"33","P. meandrina","POM-185","21","0",2,-0.0752353863338183,-270.847390801746
"34","P. meandrina","POM-185","21","560",2,0.117600036378093,423.360130961136
"35","P. meandrina","POM-185","24","0",2,-0.116849817375302,-420.659342551088
"36","P. meandrina","POM-185","24","560",2,0.125084932995641,450.305758784306
"37","P. meandrina","POM-185","28","0",2,-0.143891469338273,-518.009289617784
"38","P. meandrina","POM-185","28","560",2,0.100598832419153,362.155796708952
"39","P. meandrina","POM-185","30","0",2,-0.141159287419593,-508.173434710535
"40","P. meandrina","POM-185","30","560",2,0.0880713458753569,317.056845151285
