fragment_ID,Sample,Diameter,weight1.g,weight2.g,Notes
3A,Standard,5,40.7897,43.0855,
4A,Standard,3.13,12.1516,13.0065,
5A,Standard,2.45,6.5761,7.0264,
6A,Standard,1.73,2.3289,2.6039,
7A,Standard,1.09,0.572,0.6486,
REC-137,Coral,NA,2.2211,2.3523,
POT-107,Coral,NA,15.545,15.9495,
POG-104,Coral,NA,15.6713,16.1128,
POV-106,Coral,NA,15.8035,16.3601,
POG-103,Coral,NA,13.4994,13.4688,
POM-108,Coral,NA,14.8284,14.9167,
POT-103,Coral,NA,13.8136,14.0339,
POM-106,Coral,NA,11.7847,11.903,
POT-104,Coral,NA,12.2929,13.0673,
POG-105,Coral,NA,15.661,16.4164,
POV-104,Coral,NA,13.1031,13.9532,
POV-101,Coral,NA,12.5924,13.2542,
POV-105,Coral,NA,9.2308,9.4666,
POM-103,Coral,NA,9.7837,10.1086,
POV-108,Coral,NA,13.5317,14.0769,
POT-102,Coral,NA,10.2262,10.5341,
POM-109,Coral,NA,15.1845,15.7953,
POM-108,Coral,NA,4.0942,4.4799,
POV-107,Coral,NA,11.2369,11.6119,
POG-102,Coral,NA,13.3622,13.8804,
POM-107,Coral,NA,12.857,13.3168,
REC-122,Coral,NA,9.0341,9.2231,
POG-101,Coral,NA,11.9137,12.2696,
REC-139,Coral,NA,10.1981,10.5612,
POM-101,Coral,NA,10.7216,11.0363,
REC-136,Coral,NA,10.5877,10.9802,
REC-135,Coral,NA,8.394,8.5914,
POV-102,Coral,NA,11.3764,11.7198,
POT-107,Coral,NA,13.8505,,missing 2nd measurement
POG-107,Coral,NA,12.5116,12.8905,
REC-109,Coral,NA,7.6612,7.7833,
POM-105,Coral,NA,11.3732,11.7571,
REC-129,Coral,NA,9.0897,9.3377,
REC-111,Coral,NA,9.9642,10.2545,
REC-138,Coral,NA,8.8702,9.0371,
POV-103,Coral,NA,16.3455,16.9885,
REC-134,Coral,NA,10.0579,10.3141,
POT-101,Coral,NA,15.3072,15.9645,
REC-140,Coral,NA,9.0855,9.333,
REC-130,Coral,NA,8.655,8.8065,
POM-104,Coral,NA,13.6413,14.179,
REC-112,Coral,NA,7.9481,8.0644,
REC-132,Coral,NA,8.2964,8.4775,
RECP106,Coral,NA,7.7065,7.8572,
REC-128,Coral,NA,8.562,8.721,
POT-108,Coral,NA,13.1895,13.6153,
POT-105,Coral,NA,11.6135,12.0422,
POT-106,Coral,NA,13.6574,14.3194,Need to check plug ID
